deutsche_verben:
----------------

sein: ich bin, du bist, es ist, wir sind, ihr seid, sie sind
haben: ich habe, du hast, es hat, wir haben, ihr habt, sie haben
tun: ich tue, du tust, es tut, wir tun, ihr tut, wir tun
-können: ich kann, du kannst, es kannt, wir können, ihr könnt, sie können
machen: ich mache, du machst, es macht, wir machen, ihr macht, sie machen
werden: ich werde, du wirst, es wird, wir werden, ihr werdet, sie werden
wissen: ich weiß, du weißt, es weiß, wir wissen, ihr wisst, sie wissen

kommen: ich komme, du kommst, es kommt, wir kommen, ihr kommt, sie kommen
-mögen: ich mag, du magst, es mag, wir mögen, ihr mögt, sie mögen
möchten: ich möchte, du möchst, es möcht, wir möchten, ihr möchtet, sie möchten
*sehen: ich sehe, du siehst, es sieht, wir sehen, ihr seht, sie sehen
verstehen: ich verstehe, du verstehst es versteht, wir verstehen, ihr versteht, sie verstehen
kosten: ich koste, du kostest, es kostet, wir kosten, ihr kostet, sie kosten
kaufen: ich kaufe, du kaufst, es kauft, wir kaufen, ihr kauft, sie kaufen
zahlen: ich zahle, du zahlst, es zahlt, wir zahlen, ihr zahlt, sie zahlen
lieben: ich liebe, du liebst, es liebt, wir lieben, ihr liebt, sie lieben
*geben: ich gebe, du gibst, es gibt, wir geben, ihr gebt, sie geben
finden: ich finde, du findest, es findet, wir finden, ihr findet, sie finden
verlieren: ich verliere, du verlierst, es verliert, wir verlieren, ihr verliert, sie verlieren
suchen: ich suche, du suchst, es sucht, wir suchen, ihr sucht, sie suchen
vergessen: ich vergesse, du vergisst, es vergisst, wir vergessen, ihr vergesst, sie vergessen
erinern: ich erinere, du erinerst, es erinert, wir erinern, ihr erinert, sie erinern
+heißen: ich heiße, du heißt, es heißt, wir heißen, ihr heißt, sie heißen
leben: ich lebe, du lebst, es lebt, wir leben, ihr lebt, sie leben
wohnen: ich wohne, du wohnst, es wohnt, wir wohnen, ihr wohnt, sie wohnen
gehen: ich gehe, du gehst, es geht, wir gehen, ihr geht, sie gehen
verlassen: ich verlasse, du verlässt, es verlässt, wir verlassen, ihr verlasst, sie verlassen

*sprechen: ich spreche, du sprichst, es spricht, wir sprechen, ihr sprecht, sie sprechen
erzählen: ich erzähle, du erzählst, es erzählt, wir erzählen, ihr erzählt, sie erzählen
schreiben: ich schreibe, du schreibst, es schreibt, wir schreiben, ihr schreibt, sie schreiben
+lesen: ich lese, du liest, es liest, wir lesen, ihr lest, sie lesen
hören: ich höre, du hörst, es hört, wir hören, ihr hört, sie hören
sagen: ich sage, du sagst, es sagt, wir sagen, ihr sagt, sie sagen
denken: ich denke, du denkst, es denkt, wir denken, ihr denkt, sie denken
glauben: ich glaube, du glaubst, es glaubt, wir glauben, ihr glaubt, sie glauben
erklären: ich erkläre, du erklärst, es erklärt, wir erklären, ihr erklärt, sie erklären
